"","FamilyA","FamilyB"
"1","Adimari","Ardinghelli"
"2","Adimari","Baldovinetti"
"3","Adimari","Lamberteschi"
"4","Adimari","Rondinelli"
"5","Adimari","Rossi"
"6","Adimari","Solosmei"
"7","Alberti","Orlandini"
"8","Albizzi","Altoviti"
"9","Albizzi","Benizzi"
"10","Albizzi","Velluti"
"11","Altoviti","Albizzi"
"12","Altoviti","Baldovinetti"
"13","Altoviti","Bardi"
"14","Altoviti","Franceschi"
"15","Altoviti","Frescobaldi"
"16","Altoviti","Peruzzi"
"17","Ardinghelli","Adimari"
"18","Ardinghelli","Belfradelli"
"19","Ardinghelli","Lamberteschi"
"20","Ardinghelli","Rossi"
"21","Ardinghelli","Strozzi"
"22","Ardinghelli","Velluti"
"23","Arnolfi","Bencivenni"
"24","Arrigucci","Ginori"
"25","Baldovinetti","Adimari"
"26","Baldovinetti","Altoviti"
"27","Baldovinetti","Della_Casa"
"28","Baldovinetti","Castellani"
"29","Baldovinetti","Cavalcanti"
"30","Baldovinetti","Manovelli"
"31","Baldovinetti","Serragli"
"32","Barbadori","Castellani"
"33","Barbadori","Ginori"
"34","Barbadori","Medici"
"35","Barbadori","Peruzzi"
"36","Barbadori","Ricasoli"
"37","Barbadori","Scambrilla"
"38","Barbadori","Velluti"
"39","Bardi","Altoviti"
"40","Bardi","Belfradelli"
"41","Bardi","Brancacci"
"42","Bardi","Frescobaldi"
"43","Bardi","Peruzzi"
"44","Bardi","Velluti"
"45","Baroncelli","Belfradelli"
"46","Baroncelli","Castellani"
"47","Baroncelli","Lamberteschi"
"48","Baroncelli","Velluti"
"49","Belfradelli","Ardinghelli"
"50","Belfradelli","Bardi"
"51","Belfradelli","Baroncelli"
"52","Belfradelli","Della_Casa"
"53","Belfradelli","Da_Uzzano"
"54","Bencivenni","Arnolfi"
"55","Bencivenni","Carducci"
"56","Bencivenni","Pazzi"
"57","Del_Benino","Medici"
"58","Benizzi","Albizzi"
"59","Benizzi","Manelli"
"60","Benizzi","Nerli"
"61","Bischeri","Corsi"
"62","Bischeri","Guadagni"
"63","Bischeri","Guicciardini"
"64","Bischeri","Lamberteschi"
"65","Brancacci","Bardi"
"66","Brancacci","Castellani"
"67","Brancacci","Medici"
"68","Brancacci","Spini"
"69","Busini","Peruzzi"
"70","Busini","Da_Uzzano"
"71","Carducci","Bencivenni"
"72","Carnessecchi","Orlandini"
"73","Della_Casa","Baldovinetti"
"74","Della_Casa","Belfradelli"
"75","Della_Casa","Ricasoli"
"76","Della_Casa","Rondinelli"
"77","Della_Casa","Solosmei"
"78","Della_Casa","Velluti"
"79","Castellani","Baldovinetti"
"80","Castellani","Barbadori"
"81","Castellani","Baroncelli"
"82","Castellani","Brancacci"
"83","Castellani","Fenci"
"84","Castellani","Lamberteschi"
"85","Castellani","Peruzzi"
"86","Castellani","Ricasoli"
"87","Cavalcanti","Baldovinetti"
"88","Cavalcanti","Medici"
"89","Cerretani","Medici"
"90","Corbinelli","Fioravanti"
"91","Corsi","Bischeri"
"92","Davanzati","Orlandini"
"93","Dietisalvi","Medici"
"94","Donati","Medici"
"95","Fenci","Castellani"
"96","Fioravanti","Corbinelli"
"97","Fioravanti","Giugni"
"98","Fioravanti","Serristori"
"99","Del_Forese","Strozzi"
"100","Fortini","Guasconi"
"101","Franceschi","Altoviti"
"102","Frescobaldi","Altoviti"
"103","Frescobaldi","Bardi"
"104","Frescobaldi","Peruzzi"
"105","Ginori","Arrigucci"
"106","Ginori","Barbadori"
"107","Ginori","Medici"
"108","Ginori","Orlandini"
"109","Giugni","Fioravanti"
"110","Guadagni","Bischeri"
"111","Guadagni","Guicciardini"
"112","Guadagni","Lamberteschi"
"113","Guadagni","Da_Panzano"
"114","Guasconi","Fortini"
"115","Guicciardini","Bischeri"
"116","Guicciardini","Guadagni"
"117","Guicciardini","Lamberteschi"
"118","Guicciardini","Manelli"
"119","Guicciardini","Medici"
"120","Guicciardini","Nerli"
"121","Guicciardini","Peruzzi"
"122","Guiducci","Medici"
"123","Lamberteschi","Adimari"
"124","Lamberteschi","Ardinghelli"
"125","Lamberteschi","Baroncelli"
"126","Lamberteschi","Bischeri"
"127","Lamberteschi","Castellani"
"128","Lamberteschi","Guadagni"
"129","Lamberteschi","Guicciardini"
"130","Lamberteschi","Manelli"
"131","Lamberteschi","Peruzzi"
"132","Lamberteschi","Ricci"
"133","Lamberteschi","Scambrilla"
"134","Lamberteschi","Velluti"
"135","Manelli","Benizzi"
"136","Manelli","Guicciardini"
"137","Manelli","Lamberteschi"
"138","Manovelli","Baldovinetti"
"139","Manovelli","Panciatichi"
"140","Manovelli","Rondinelli"
"141","Manovelli","Serragli"
"142","Martelli","Pandolfini"
"143","Martelli","Da_Uzzano"
"144","Medici","Barbadori"
"145","Medici","Del_Benino"
"146","Medici","Brancacci"
"147","Medici","Cavalcanti"
"148","Medici","Cerretani"
"149","Medici","Dietisalvi"
"150","Medici","Donati"
"151","Medici","Ginori"
"152","Medici","Guicciardini"
"153","Medici","Guiducci"
"154","Medici","Orlandini"
"155","Medici","Pandolfini"
"156","Medici","Da_Panzano"
"157","Medici","Pecori"
"158","Medici","Ricci"
"159","Medici","Serristori"
"160","Medici","Solosmei"
"161","Medici","Della_Stufa"
"162","Medici","Tinucci"
"163","Medici","Vecchietti"
"164","Medici","Da_Verrazzano"
"165","Nerli","Benizzi"
"166","Nerli","Guicciardini"
"167","Orlandini","Alberti"
"168","Orlandini","Carnessecchi"
"169","Orlandini","Davanzati"
"170","Orlandini","Ginori"
"171","Orlandini","Medici"
"172","Panciatichi","Manovelli"
"173","Panciatichi","Velluti"
"174","Pandolfini","Martelli"
"175","Pandolfini","Medici"
"176","Pandolfini","Pazzi"
"177","Pandolfini","Tornabuoni"
"178","Da_Panzano","Guadagni"
"179","Da_Panzano","Medici"
"180","Pazzi","Bencivenni"
"181","Pazzi","Pandolfini"
"182","Pecori","Medici"
"183","Peruzzi","Altoviti"
"184","Peruzzi","Barbadori"
"185","Peruzzi","Bardi"
"186","Peruzzi","Busini"
"187","Peruzzi","Castellani"
"188","Peruzzi","Frescobaldi"
"189","Peruzzi","Guicciardini"
"190","Peruzzi","Lamberteschi"
"191","Peruzzi","Solosmei"
"192","Peruzzi","Da_Uzzano"
"193","Ricasoli","Barbadori"
"194","Ricasoli","Della_Casa"
"195","Ricasoli","Castellani"
"196","Ricci","Lamberteschi"
"197","Ricci","Medici"
"198","Rondinelli","Adimari"
"199","Rondinelli","Della_Casa"
"200","Rondinelli","Manovelli"
"201","Rondinelli","Serragli"
"202","Rondinelli","Spini"
"203","Rossi","Adimari"
"204","Rossi","Ardinghelli"
"205","Rossi","Velluti"
"206","Salviati","Serristori"
"207","Scambrilla","Barbadori"
"208","Scambrilla","Lamberteschi"
"209","Scambrilla","Serragli"
"210","Scambrilla","Da_Uzzano"
"211","Serragli","Baldovinetti"
"212","Serragli","Manovelli"
"213","Serragli","Rondinelli"
"214","Serragli","Scambrilla"
"215","Serristori","Fioravanti"
"216","Serristori","Medici"
"217","Serristori","Salviati"
"218","Serristori","Solosmei"
"219","Solosmei","Adimari"
"220","Solosmei","Della_Casa"
"221","Solosmei","Medici"
"222","Solosmei","Peruzzi"
"223","Solosmei","Serristori"
"224","Solosmei","Tornabuoni"
"225","Spini","Brancacci"
"226","Spini","Rondinelli"
"227","Strozzi","Ardinghelli"
"228","Strozzi","Del_Forese"
"229","Strozzi","Velluti"
"230","Della_Stufa","Medici"
"231","Tinucci","Medici"
"232","Tornabuoni","Pandolfini"
"233","Tornabuoni","Solosmei"
"234","Da_Uzzano","Belfradelli"
"235","Da_Uzzano","Busini"
"236","Da_Uzzano","Martelli"
"237","Da_Uzzano","Peruzzi"
"238","Da_Uzzano","Scambrilla"
"239","Vecchietti","Medici"
"240","Velluti","Albizzi"
"241","Velluti","Ardinghelli"
"242","Velluti","Barbadori"
"243","Velluti","Bardi"
"244","Velluti","Baroncelli"
"245","Velluti","Della_Casa"
"246","Velluti","Lamberteschi"
"247","Velluti","Panciatichi"
"248","Velluti","Rossi"
"249","Velluti","Strozzi"
"250","Da_Verrazzano","Medici"
